,periodoA,osf,categoria,p1_a,p1_b,p1_e,p1_g,p1_h,p1_i,p2,p4,p5_a,p5_b,p5_c,p5_e,p6,p6.1,evaluacion,comentarios
3370,1,NotFound,,4,5,5,5,5,5,True,2,5,5,5,5,2,True,4,['gran']
3371,1,"AUTISMO, A.B.P.",ONG - Humanitaria,5,5,5,5,5,5,True,5,5,5,5,5,5,True,5,"['centro', 'muy', 'genial', 'centro', 'gran']"
3372,1,Dirección de Servicio Social,Dirección Servicio Social Campus Mty.,5,5,5,5,5,5,False,0,5,5,5,5,0,True,4,"['encanta', 'se', 'siento', 'muy', 'muy', 'ella', 'muy']"
3373,1,"Tierra de Artistas, A.C.",Actividades recreativas,5,4,5,5,5,5,False,0,4,5,5,4,2,False,4,[]
3374,1,"Congregación Mariana Trinitaria, A.C.",ONG - Humanitaria,5,5,4,5,5,5,True,2,4,5,4,5,0,True,4,"['muy', 'veces', 'se', 'siento', 'entender', 'simple']"
3375,1,"SAIIS, Sociedad de Alumnos de Ingeniero Industrial y de Sistemas",Sociedad de Alumnos ITESM,5,5,5,5,5,5,True,2,5,5,5,5,2,False,4,"['gran', 'muy', 'divertido']"
3376,1,Dirección de Servicio Social - Aprendizajes para todos,Dirección Servicio Social Campus Mty.,4,5,5,4,4,4,False,5,5,5,5,5,0,True,4,"['excelente', 'agrado', 'forma', 'se', 'contacto']"
3377,1,Sacbé,ONG - Arte y cultura,5,5,5,5,5,5,True,0,5,5,5,5,0,True,4,"['excelente', 'se', 'ayudar', 'no', 'dado', 'vida', 'cuando', 'esfuerzo']"
3378,1,Dirección de Servicio Social - PASS,Dirección Servicio Social Campus Mty.,4,5,4,5,5,4,True,2,5,5,5,5,2,True,4,['muy']
3379,1,Fundacionplan.org - Plan SPAP A.C.,ONG - Humanitaria,4,4,3,4,2,2,True,2,4,4,4,4,2,False,3,"['no', 'no']"
3380,1,Pal Sur del Norte,ONG - Desarrollo humano,4,4,5,5,5,5,True,2,5,5,5,5,2,True,4,"['gran', 'ayudar']"
3381,1,Dirección de Servicio Social - Aprendizajes para todos,Dirección Servicio Social Campus Mty.,5,5,3,5,5,5,False,2,5,5,5,5,2,False,4,[]
3382,1,Dirección de Servicio Social - Aprendizajes para todos,Dirección Servicio Social Campus Mty.,5,5,4,5,4,5,False,2,5,5,5,5,0,True,4,"['encanto', 'estos', 'voy', 'muy', 'bonita', 'ellos', 'no', 'se', 'esto', 'se', 'persona', 'siento', 'mas', 'pueden', 'se', 'hacerlo', 'estos', 'dudas']"
3383,1,Dirección de Servicio Social - PASS,Dirección Servicio Social Campus Mty.,5,4,4,5,5,3,True,2,4,5,5,5,2,True,4,"['muy', 'muy']"
3384,1,Dirección de Servicio Social - Aprendizajes para todos,Dirección Servicio Social Campus Mty.,4,4,5,5,5,5,True,0,5,5,5,5,2,False,4,[]
3385,1,Casa Monarca Ayuda Humanitaria al Migrante A.B.P.,ONG - Humanitaria,3,3,3,4,3,3,True,0,4,4,4,4,0,False,3,['mas']
3386,1,Sacbé,ONG - Arte y cultura,5,5,5,5,5,5,True,2,5,5,5,5,2,True,5,"['encanto', 'muy']"
3387,1,Dirección de Servicio Social - Aprendizajes para todos,Dirección Servicio Social Campus Mty.,5,5,3,5,5,3,True,2,5,5,5,5,0,True,4,"['gran', 'solo', 'muy', 'mas', 'tenido']"
3388,1,Dirección de Servicio Social - Aprendizajes para todos,Dirección Servicio Social Campus Mty.,5,5,5,5,5,5,True,2,5,5,5,5,0,True,4,"['encanto', 'parece']"
3389,1,"SABGB, Sociedad de Alumnos de Licenciatura en Negocios Internacionales",Sociedad de Alumnos ITESM,5,5,5,5,5,5,True,2,5,5,5,5,2,True,5,[]
3390,1,"SABGB, Sociedad de Alumnos de Licenciatura en Negocios Internacionales",Sociedad de Alumnos ITESM,4,4,4,5,4,4,True,2,4,3,3,4,2,False,3,[]
3391,1,"SABGB, Sociedad de Alumnos de Licenciatura en Negocios Internacionales",Sociedad de Alumnos ITESM,5,5,5,5,5,5,True,5,5,5,5,5,2,False,4,[]
3392,1,"SABGB, Sociedad de Alumnos de Licenciatura en Negocios Internacionales",Sociedad de Alumnos ITESM,4,4,4,4,4,4,True,5,4,4,4,4,0,True,4,"['muy', 'muy', 'cuando', 'realidad', 'no', 'tuve', 'porque', 'veces', 'no', 'personas', 'muy']"
3393,1,"SABGB, Sociedad de Alumnos de Licenciatura en Negocios Internacionales",Sociedad de Alumnos ITESM,4,4,4,5,5,5,True,0,4,5,5,5,2,True,4,"['encanto', 'muy']"
3394,1,"SABGB, Sociedad de Alumnos de Licenciatura en Negocios Internacionales",Sociedad de Alumnos ITESM,5,5,5,5,5,5,True,2,5,5,5,5,2,False,4,[]
3395,1,"SABGB, Sociedad de Alumnos de Licenciatura en Negocios Internacionales",Sociedad de Alumnos ITESM,5,5,5,5,5,5,True,0,5,5,5,5,0,True,4,"['siento', 'muy', 'dar', 'saber', 'poner', 'vida', 'personas', 'han', 'tenido', 'solo']"
3396,1,"SABGB, Sociedad de Alumnos de Licenciatura en Negocios Internacionales",Sociedad de Alumnos ITESM,5,4,4,5,4,5,True,0,4,4,3,5,0,True,4,"['parece', 'super', 'duda', 'debe', 'seguir', 'no', 'habia', 'nunca', 'se']"
3397,1,"SABGB, Sociedad de Alumnos de Licenciatura en Negocios Internacionales",Sociedad de Alumnos ITESM,4,4,2,5,5,5,True,0,3,4,5,5,0,False,3,"['no', 'habia', 'muy', 'ante', 'muy', 'saber', 'esperar']"
3398,1,Uno más Uno,ONG - Humanitaria,5,5,5,5,5,5,True,0,5,5,5,5,2,True,4,"['muy', 'siento', 'podido', 'ayudar', 'dudas']"
3399,1,Uno más Uno,ONG - Humanitaria,5,5,5,5,5,4,True,2,5,5,5,5,0,True,4,"['encanta', 'muy', 'mismos']"
3400,1,Uno más Uno,ONG - Humanitaria,5,5,5,5,5,5,True,0,5,5,5,5,0,False,4,"['nada', 'muy', 'no', 'nada', 'mas', 'horas', 'no', 'cambio']"
3401,1,"SACPF, Sociedad de Alumnos de Licenciatura en Contaduría Pública y Finanzas",Sociedad de Alumnos ITESM,4,5,4,4,4,5,True,2,5,5,5,5,5,True,4,"['muy', 'idea', 'cuenta', 'muy', 'agradable']"
3402,1,"SATEM, Sociedad Astronómica del Tecnológico de Monterrey",Sociedad de Alumnos ITESM,5,5,4,5,4,4,True,0,4,5,5,4,0,True,4,"['se', 'saber', 'iban', 'mas', 'dispuestos']"
3403,1,Dirección de Servicio Social - Aprendizajes para todos,Dirección Servicio Social Campus Mty.,5,5,5,5,5,5,True,0,5,5,5,5,0,True,4,"['eso', 'idea']"
3404,1,Casa Monarca Ayuda Humanitaria al Migrante A.B.P.,ONG - Humanitaria,5,5,4,5,5,5,True,0,4,5,5,5,0,True,4,"['muy', 'no', 'se', 'les', 'no', 'solo', 'hacerlo']"
3405,1,Dirección de Servicio Social - Aprendizajes para todos,Dirección Servicio Social Campus Mty.,3,4,3,3,2,4,False,2,4,4,4,4,0,False,3,"['no', 'se']"
3406,1,Dirección de Servicio Social - Aprendizajes para todos,Dirección Servicio Social Campus Mty.,5,5,5,5,5,5,True,0,5,5,5,5,0,False,4,"['falta', 'ayudar', 'quieren']"
3407,1,Dirección de Servicio Social - Aprendizajes para todos,Dirección Servicio Social Campus Mty.,5,5,5,5,5,5,True,0,5,5,5,5,5,True,5,"['debe', 'vista', 'ejemplo', 'bienvenida', 'pasos', 'dar', 'tuve', 'muy', 'muy']"
3408,1,Uno más Uno,ONG - Humanitaria,4,4,5,5,4,4,False,2,3,5,4,5,0,True,4,['mismos']
3409,1,"SABGB, Sociedad de Alumnos de Licenciatura en Negocios Internacionales",Sociedad de Alumnos ITESM,5,5,5,5,5,5,True,5,5,5,5,5,0,True,5,"['muy', 'orden']"
3410,1,"AICHE, American Institute of Chemical Engineering",Investigación,5,5,5,5,5,5,True,2,5,5,5,5,0,True,4,"['muy', 'sale']"
3411,1,Dirección de Servicio Social - PASS,Dirección Servicio Social Campus Mty.,5,5,5,5,5,5,True,2,5,5,5,5,2,False,4,[]
3412,1,Dirección de Servicio Social - PASS,Dirección Servicio Social Campus Mty.,5,5,5,5,5,5,False,2,5,5,5,5,0,False,4,"['hubiera', 'mas']"
3413,1,Dirección de Servicio Social - Aprendizajes para todos,Dirección Servicio Social Campus Mty.,3,4,3,3,4,3,True,2,3,4,5,4,2,False,3,[]
3414,1,"CÁRITAS MEXICANA, IAP",ONG - Salud,2,2,3,2,1,2,False,5,5,3,5,2,0,False,2,"['muy', 'nunca', 'muy', 'no', 'falta', 'otro']"
3415,1,EN - Departamento de Contaduría Pública y Finanzas,ONG - Desarrollo humano,5,5,5,5,5,5,True,5,5,5,5,5,5,True,5,"['perfecto', 'perfecto']"
3416,1,Proyecto 99,ONG - Humanitaria,4,5,5,5,5,5,True,2,5,5,5,5,0,True,4,['comentarios']
3417,1,Pal Sur del Norte,ONG - Desarrollo humano,5,5,5,5,4,5,True,0,4,5,4,4,0,False,4,"['se', 'otra', 'dar', 'muy', 'complejo', 'veces', 'tuve', 'otra', 'realidad']"
3418,1,Proyecto 99,ONG - Humanitaria,3,4,5,1,1,3,True,0,5,5,5,5,0,False,3,"['idea', 'horas', 'muy', 'muy', 'satisfactoria', 'hubiera', 'van', 'porque', 'dejaron', 'clase']"
3419,1,Pal Sur del Norte,ONG - Desarrollo humano,5,5,5,5,5,5,True,2,5,5,5,5,0,True,4,"['ayudar', 'persona']"
3420,1,Dirección de Servicio Social - PASS,Dirección Servicio Social Campus Mty.,5,5,5,5,4,5,True,0,5,5,5,5,0,True,4,"['caso', 'mas', 'nada', 'muy', 'viene', 'ayudar', 'mismos', 'les', 'ofrece']"
3421,1,Proyecto 99,ONG - Humanitaria,4,4,4,4,4,4,False,0,4,4,4,4,2,False,3,[]
